node_id,node_type,system_type,connection_type,asset_id,x,y,ground_level,flood_level,chamber_floor,chamber_roof,chamber_area,shaft_area,flood_type,benching_method,element_area_factor_2d,floodable_area,flood_depth_1,flood_depth_2,flood_area_1,flood_area_2,flooding_discharge_coeff,head_discharge_id,n_gullies,relative_stages,inlet_input_type,inlet_type,flow_efficiency_id,cross_slope,grate_width,grate_length,num_transverse_bars,opening_length,num_longitudinal_bars,opening_height,gutter_depression,num_diagonal_bars,lateral_depression,min_area_inc_voids,area_of_voids,velocity_splashover,debris,half_road_width,depth_weir,clear_opening,inlet_UE_a,inlet_UE_b,shaft_area_additional_total,chamber_area_additional_total,base_area,perimeter,infiltration_coeff,porosity,shaft_area_additional,shaft_area_add_comp,shaft_area_add_simplify,shaft_area_add_ncorrect,chamber_area_additional,chamber_area_add_comp,chamber_area_add_simplify,chamber_area_add_ncorrect,liner_level,vegetation_level,infiltratn_coeff_abv_vegn,infiltratn_coeff_abv_liner,infiltratn_coeff_blw_liner,lateral_node_id,lateral_link_suffix,asset_uid,infonet_id,_2d_link_type
1,Outfall,Other,Lost,,1168.9,1243.4,391.647,391.647,387.096,387.706,0.1,0.1,Lost,Full Benching,1.,0.,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,,0.,0.,1.,0.,,,,0.,,,,0.,387.096,0.,0.,0.,,,,,Depth
2,Outfall,Other,Lost,,1168.9,1243.1,391.647,391.647,0.,0.,0.1,0.1,Lost,Full Benching,1.,0.,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,,0.,0.,1.,0.,,,,0.,,,,0.,0.,0.,0.,0.,,,,,Depth
3/1,Manhole,Other,Lost,,1219.7,1232.,389.839,389.839,387.401,388.01,0.1,0.1,Lost,Full Benching,1.,0.,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,387.401,0.,0.,0.,,,,,Depth
3/2,Manhole,Other,Lost,,1282.1,1212.,392.887,392.887,390.449,390.906,0.1,0.1,Lost,Full Benching,1.,0.61,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,390.449,0.,0.,0.,,,,,Depth
3/375,Outfall,Other,Lost,,1172.,1247.4,391.646,391.646,387.096,387.706,0.1,0.1,Lost,Full Benching,1.,0.,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,,0.,0.,1.,0.,,,,0.,,,,0.,387.096,0.,0.,0.,,,,,Depth
4/1,Manhole,Other,Lost,,1268.5,1172.1,394.21,394.21,391.772,392.229,0.1,0.1,Lost,Full Benching,1.,0.627,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,391.772,0.,0.,0.,,,,,Depth
5/1,Manhole,Other,Lost,,1228.2,1153.9,391.104,391.104,388.666,389.275,0.1,0.1,Lost,Full Benching,1.,0.,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,388.666,0.,0.,0.,,,,,Depth
5/2,Manhole,Other,Lost,,1259.5,1138.9,393.655,393.655,391.217,391.826,0.1,0.1,Lost,Full Benching,1.,0.053,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,391.217,0.,0.,0.,,,,,Depth
5/3,Manhole,Other,Lost,,1314.6,1112.8,396.868,396.868,394.429,394.887,0.1,0.1,Lost,Full Benching,1.,0.116,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,394.429,0.,0.,0.,,,,,Depth
5/4,Manhole,Other,Lost,,1360.8,1090.7,398.032,398.032,395.594,396.051,0.1,0.1,Lost,Full Benching,1.,0.273,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,395.594,0.,0.,0.,,,,,Depth
6/1,Manhole,Other,Lost,,1260.7,1129.5,393.969,393.969,391.531,391.988,0.1,0.1,Lost,Full Benching,1.,0.056,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,391.531,0.,0.,0.,,,,,Depth
Junction,Manhole,Other,Lost,,1250.8,1222.5,391.634,391.634,389.196,389.806,0.1,0.1,Lost,Full Benching,1.,0.,1.,100.,100,100,0.5,,1.,0,Params,SagC,,0.,0.,0.,,0.,,0.,0.,,0.,,,0.,0.,,0.,0.,0.,0.,0.,0.,0.11,0.,0.,1.,0.,,,,0.,,,,0.,389.196,0.,0.,0.,,,,,Depth
